district,neighborhood,nearest_metro_km,metro_500m,metro_1km,weighted_1km,cafe_1km,restaurant_1km,university_2km,park_1km
sisli,kaptan pasa,0.801,0,2,2.0,33,43,7,18
buyukcekmece,sifa,15.673,0,0,0.0,31,55,1,6
tuzla,evliya celebi,0.369,1,1,1.0,2,3,1,30
tuzla,aydinli,3.791,0,0,0.0,3,9,1,10
tuzla,yayla,1.391,0,0,0.0,2,3,3,36
tuzla,aydintepe,0.393,1,2,2.0,5,5,0,21
umraniye,armaganevler,0.46,1,2,2.0,14,21,1,53
umraniye,cemil meric,0.434,1,2,2.0,2,3,0,11
umraniye,esenkent,1.171,0,0,0.0,8,6,1,12
umraniye,mehmet akif,1.037,0,0,0.0,15,34,1,26
umraniye,atakent,0.388,1,2,2.0,11,14,1,48
umraniye,adem yavuz,0.462,1,3,3.0,1,1,1,23
umraniye,huzur,0.453,1,2,2.0,3,1,0,23
umraniye,tatlisu,1.473,0,0,0.0,11,36,1,30
umraniye,istiklal,0.453,1,2,2.0,18,20,1,48
umraniye,site,1.331,0,0,0.0,7,8,1,44
umraniye,ihlamurkuyu,0.39,2,2,2.0,4,12,0,21
atasehir,ataturk,1.162,0,0,0.0,27,40,3,42
umraniye,asagi dudullu,0.411,1,2,2.0,2,1,1,22
umraniye,finanskent,2.291,0,0,0.0,18,27,1,23
umraniye,parseller,0.411,1,2,2.0,0,0,0,23
umraniye,camlik,1.911,0,0,0.0,10,20,1,27
umraniye,madenler,0.322,1,2,2.0,14,11,1,26
atasehir,tantavi,1.564,0,0,0.0,22,66,2,32
uskudar,yavuzturk,1.849,0,0,0.0,3,2,3,23
uskudar,burhaniye,0.844,0,1,1.0,6,6,4,21
uskudar,mehmet akif ersoy,2.157,0,0,0.0,2,4,2,22
uskudar,ahmediye,0.822,0,2,2.0,27,24,5,24
uskudar,guzeltepe,3.072,0,0,0.0,2,4,3,16
uskudar,cumhuriyet,0.71,0,1,1.0,25,7,3,37
uskudar,valide-i atik,0.89,0,1,1.0,32,23,7,41
uskudar,kisikli,0.814,0,1,1.0,23,11,0,27
uskudar,murat reis,0.195,2,2,2.0,28,25,11,19
uskudar,kupluce,1.493,0,0,0.0,1,4,6,18
uskudar,icadiye,0.486,1,2,2.0,32,26,8,34
uskudar,kirazlitepe,1.888,0,0,0.0,0,3,6,16
uskudar,kucuksu,3.032,0,0,0.0,0,12,5,9
uskudar,kuzguncuk,0.782,0,1,1.0,27,21,6,30
uskudar,selami ali,0.3,1,2,2.0,31,18,8,37
uskudar,selimiye,1.225,0,0,0.0,9,3,5,14
uskudar,barbaros,1.072,0,0,0.0,27,13,7,39
uskudar,kuleli,3.082,0,0,0.0,1,9,3,5
fatih,kucukmustafapasa,0.985,0,1,1.0,183,171,48,25
fatih,fevzipasa,0.845,0,2,2.0,166,174,45,23
arnavutkoy,haracci,3.595,0,0,0.0,0,1,0,1
fatih,akdeniz,0.265,1,2,2.0,133,224,29,21
uskudar,dogancilar,0.772,0,2,2.0,27,24,4,20
kagithane,celiktepe,0.0,2,3,3.0,9,14,4,36
pendik,dolayoba,1.629,0,0,0.0,0,8,0,16
esenyurt,haramidere,7.396,0,0,0.0,6,3,1,17
pendik,bahcelievler,0.514,0,2,2.0,28,35,1,19
bagcilar,barbaros,0.791,0,3,3.0,21,56,0,28
gaziosmanpasa,kucukkoy,1.523,0,0,0.0,10,8,0,43
fatih,mevlanakapi,1.309,0,0,0.0,69,99,9,27
tuzla,mimarsinan,3.336,0,0,0.0,0,0,1,14
arnavutkoy,hadimkoy,9.581,0,0,0.0,0,1,0,3
umraniye,asagidudullu,0.097,1,2,2.0,18,29,1,40
esenler,karabayir,0.796,0,2,2.0,7,13,2,27
silivri,canta,41.988,0,0,0.0,20,33,1,17
