district,neighborhood,lat,lon,strategy,place_type,address,is_periphery
buyukcekmece,merkez,41.0160925,28.5604373,tight,administrative,"Mimarsinan Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, Türkiye",0
besiktas,abbasaga,41.0495742,29.0051707,tight,administrative,"Abbasağa Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, Türkiye",0
buyukcekmece,tepecik,41.021654,28.579757,fallback,administrative,"Büyükçekmece, İstanbul, Marmara Bölgesi, Türkiye",0
sultanbeyli,turgutreis,40.9666377,29.2804313,tight,pharmacy,"Turgutreis eczane, İbrahim Hakkı Sokağı, Turgut Reis Mahallesi, Sultanbeyli, İstanbul, Marmara Bölgesi, 34930, Türkiye",0
esenyurt,kirac,41.0381215,28.6474985,medium,quarter,"Kıraç, İstiklal Mahallesi, Esenyurt, İstanbul, Marmara Bölgesi, 34522, Türkiye",0
sultangazi,sultanciftligi,41.1003942,28.8609026,tight,administrative,"Sultançiftliği Mahallesi, Sultangazi, İstanbul, Marmara Bölgesi, Türkiye",0
gungoren,tozkoparan,41.014823,28.8966072,tight,administrative,"Tozkoparan Mahallesi, Güngören, İstanbul, Marmara Bölgesi, Türkiye",0
maltepe,gulsuyu,40.9277685,29.1577237,tight,administrative,"Gülsuyu Mahallesi, Maltepe, İstanbul, Marmara Bölgesi, Türkiye",0
eyupsultan,yesilpinar,41.0785373,28.9195063,tight,administrative,"Yeşilpınar Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, Türkiye",0
beyoglu,tarlabasi,41.0379952,28.9823998,tight,hotel,"Long Stay Istanbul, Turan Caddesi, Tarlabaşı, Bülbül, Şehit Muhtar Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, 34435, Türkiye",0
kucukcekmece,sefakoy,41.0064655,28.8088663,tight,residential,"Fortis İstanbul, Sefaköy, Kartaltepe Mahallesi, Küçükçekmece, İstanbul, Marmara Bölgesi, Türkiye",0
esenler,merkez,41.0213762,28.8887076,tight,university,"YTÜ Merkez Laboratuvarı, YTU Davutpasa Yerleşkesi, Davutpaşa, Çifte Havuzlar Mahallesi, Esenler, İstanbul, Marmara Bölgesi, 34220, Türkiye",0
esenler,birlik,41.0516003,28.8715638,tight,administrative,"Birlik Mahallesi, Esenler, İstanbul, Marmara Bölgesi, Türkiye",0
eyupsultan,merkez,41.0474069,28.9356137,tight,administrative,"Merkez Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, Türkiye",0
besiktas,gayrettepe,41.0622256,29.0061911,tight,administrative,"Gayrettepe Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, Türkiye",0
kagithane,caglayan,41.0796544,28.9731198,fallback,station,"Kağıthane, Cendere Caddesi, Çağlayan Mahallesi, Merkez Mahallesi, Kâğıthane, İstanbul, Marmara Bölgesi, 34406, Türkiye",0
uskudar,beylerbeyi,41.0417926,29.0465456,tight,administrative,"Beylerbeyi Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, Türkiye",0
catalca,izzettin,41.1431,28.4631,manual_district_center,manual,catalca ilce merkezi (manuel),1
catalca,ferhatpasa,41.1431,28.4631,manual_district_center,manual,catalca ilce merkezi (manuel),1
catalca,kaleici,41.1431,28.4631,manual_district_center,manual,catalca ilce merkezi (manuel),1
besiktas,levazim,41.0627271,29.0196144,tight,administrative,"Levazım Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, Türkiye",0
besiktas,arnavutkoy,41.0672342,29.0432537,tight,administrative,"Arnavutköy Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, Türkiye",0
kadikoy,fikirtepe,40.9932183,29.0516214,tight,administrative,"Fikirtepe Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, Türkiye",0
eyupsultan,gokturk,41.1787211,28.8909689,tight,administrative,"Göktürk Merkez Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, 34077, Türkiye",0
sariyer,tarabya,41.1385739,29.0530421,tight,administrative,"Tarabya Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, Türkiye",0
uskudar,unalan,41.0019106,29.0649352,tight,administrative,"Ünalan Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, 34700, Türkiye",0
uskudar,cengelkoy,41.0509178,29.0538023,tight,administrative,"Çengelköy Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, Türkiye",0
sancaktepe,samandira,40.9757233,29.2478267,tight,vehicle_inspection,"TÜVTÜRK, Battalgazi Caddesi, Osmangazi Mahallesi, Sancaktepe, İstanbul, Marmara Bölgesi, 34887, Türkiye",0
kagithane,hamidiye,41.0796544,28.9731198,fallback,station,"Kağıthane, Cendere Caddesi, Çağlayan Mahallesi, Merkez Mahallesi, Kâğıthane, İstanbul, Marmara Bölgesi, 34406, Türkiye",0
uskudar,bahcelievler,41.0533837,29.0797099,tight,administrative,"Bahçelievler Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, 34688, Türkiye",0
maltepe,idealtepe,40.939145,29.1183663,tight,administrative,"İdealtepe Mahallesi, Maltepe, İstanbul, Marmara Bölgesi, Türkiye",0
kadikoy,suadiye,40.9594019,29.082813,tight,administrative,"Suadiye Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, 34740, Türkiye",0
atasehir,kucukbakkalkoy,40.9803353,29.1130781,tight,administrative,"Küçükbakkalköy Mahallesi, Ataşehir, İstanbul, Marmara Bölgesi, 34750, Türkiye",0
