price,area_m2,room_count,district,neighborhood,total_rooms,walkability_score
50000.0,80.0,2+1,Üsküdar,Kirazlıtepe,3.0,52.38
50000.0,140.0,3+1,Üsküdar,Murat Reis,4.0,52.38
55000.0,105.0,2+1,Üsküdar,Mehmet Akif Ersoy,3.0,52.38
55000.0,90.0,2+1,Üsküdar,Burhaniye,3.0,52.38
55000.0,65.0,1+1,Üsküdar,Selimiye,2.0,52.38
48000.0,65.0,1+1,Bulgurlu,Merkez,2.0,10.0
55000.0,65.0,2+1,Merkez,Salacak,3.0,10.0
51000.0,91.0,2+1,Üsküdar,Mehmet Akif Ersoy,3.0,52.38
50000.0,145.0,3+1,Üsküdar,Güzeltepe,4.0,52.38
50000.0,130.0,3+1,Merkez,Zeynep Kamil,4.0,10.0
50000.0,92.0,2+1,Üsküdar,Mehmet Akif Ersoy,3.0,52.38
48000.0,115.0,3+1,Bulgurlu,Merkez,4.0,10.0
53500.0,62.0,2+1,Üsküdar,Çengelköy,3.0,52.38
51000.0,105.0,2+1,Üsküdar,Mehmet Akif Ersoy,3.0,52.38
55000.0,97.0,2+1,Bahçelievler,Bahçelievler,3.0,10.0
50000.0,91.0,2+1,Üsküdar,Mehmet Akif Ersoy,3.0,52.38
55000.0,92.0,2+1,Üsküdar,Mehmet Akif Ersoy,3.0,52.38
51000.0,90.0,2+1,Üsküdar,Mehmet Akif Ersoy,3.0,52.38
52000.0,100.0,2+1,Üsküdar,Kirazlıtepe,3.0,52.38
48000.0,90.0,2+1,Kadıköy,Acıbadem,3.0,74.31
47000.0,80.0,2+1,Merkez,Aziz Mahmut Hüdayi,3.0,10.0
46000.0,87.0,2+1,Üsküdar,Mehmet Akif Ersoy,3.0,52.38
54900.0,90.0,2+1,Üsküdar,Mehmet Akif Ersoy,3.0,52.38
50000.0,125.0,3+1,Üsküdar,Murat Reis,4.0,52.38
46500.0,120.0,3+1,Bulgurlu,Merkez,4.0,10.0
47500.0,160.0,3+1,Üsküdar,Mehmet Akif Ersoy,4.0,52.38
50000.0,150.0,3+1,Ünalan,Ünalan,4.0,10.0
55000.0,78.0,2+1,Bahçelievler,Bahçelievler,3.0,10.0
46000.0,70.0,2+1,Merkez,Mimar Sinan,3.0,10.0
48000.0,120.0,3+1,Ferah,Merkez,4.0,10.0
55000.0,95.0,2+1,Bahçelievler,Bahçelievler,3.0,10.0
50000.0,95.0,2+1,Üsküdar,Mehmet Akif Ersoy,3.0,52.38
50000.0,101.0,2+1,Üsküdar,Küçüksu,3.0,52.38
48000.0,95.0,3+1,Üsküdar,Küçüksu,4.0,52.38
50000.0,165.0,4+2,Bulgurlu,Cumhuriyet,6.0,10.0
52000.0,150.0,4+1,Bahçelievler,Bahçelievler,5.0,10.0
46500.0,109.0,2+1,Üsküdar,İcadiye,3.0,52.38
47500.0,120.0,3+1,Bulgurlu,Merkez,4.0,10.0
