price,area_m2,room_count,district,neighborhood,total_rooms
30000.0,80.0,2+1,sancaktepe,fatih,3.0
30000.0,75.0,1+1,sancaktepe,abdurrahmangazi,2.0
27000.0,100.0,2+1,sancaktepe,kemal turkler,3.0
30000.0,80.0,2+1,sancaktepe,ataturk,3.0
29000.0,120.0,3+1,sancaktepe,emek,4.0
28000.0,100.0,2+1,sancaktepe,emek,3.0
31000.0,115.0,2+1,sancaktepe,yenidogan,3.0
29500.0,90.0,2+1,sancaktepe,eyup sultan,3.0
26500.0,115.0,2+1,sancaktepe,abdurrahmangazi,3.0
27000.0,75.0,2+1,sancaktepe,abdurrahmangazi,3.0
27000.0,67.0,1+1,sancaktepe,osmangazi,2.0
30000.0,90.0,2+1,sancaktepe,yunus emre,3.0
27500.0,75.0,2+1,sancaktepe,inonu,3.0
30000.0,61.0,1+1,sancaktepe,fatih,2.0
30000.0,55.0,2+1,sancaktepe,osmangazi,3.0
30000.0,65.0,1+1,sancaktepe,osmangazi,2.0
27000.0,85.0,2+1,sancaktepe,abdurrahmangazi,3.0
29500.0,70.0,2+1,sancaktepe,osmangazi,3.0
28000.0,90.0,2+1,sancaktepe,osmangazi,3.0
26500.0,95.0,2+1,sancaktepe,yunus emre,3.0
30000.0,120.0,2+1,sancaktepe,sarigazi,3.0
28500.0,75.0,2+1,sancaktepe,mevlana,3.0
28000.0,110.0,3+1,sancaktepe,kemal turkler,4.0
27000.0,90.0,2+1,sancaktepe,osmangazi,3.0
30000.0,145.0,3+1,sancaktepe,abdurrahmangazi,4.0
30000.0,145.0,3+1,sancaktepe,yunus emre,4.0
30500.0,95.0,2+1,sancaktepe,veysel karani,3.0
27000.0,120.0,3+1,sancaktepe,safa,4.0
30000.0,78.0,2+1,sancaktepe,osmangazi,3.0
30000.0,120.0,3+1,sancaktepe,kemal turkler,4.0
30000.0,145.0,3+1,sancaktepe,yenidogan,4.0
28500.0,130.0,2+1,sancaktepe,meclis,3.0
30000.0,65.0,1+1,sancaktepe,akpinar,2.0
27000.0,85.0,2+1,sancaktepe,mevlana,3.0
29000.0,110.0,2+1,sancaktepe,akpinar,3.0
29000.0,90.0,2+1,sancaktepe,osmangazi,3.0
30500.0,105.0,2+1,sancaktepe,abdurrahmangazi,3.0
28000.0,100.0,2+1,sancaktepe,inonu,3.0
30000.0,80.0,2+1,sancaktepe,abdurrahmangazi,3.0
28000.0,100.0,2+1,sancaktepe,eyup sultan,3.0
31000.0,100.0,2+1,sancaktepe,abdurrahmangazi,3.0
27500.0,120.0,2+1,sancaktepe,yunus emre,3.0
